open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time.2,open_time
2019-08-08 00:00:00+00:00,62.31,67.16,60.67,62.38,32286.08954,1565308799999,2053657.424998,8520,15913.81046,1010927.8378943,0,,,
2019-08-09 00:00:00+00:00,62.61,62.61,57.93,58.77,13893.57329,1565395199999,832569.8850242,3792,6475.52814,389089.6628832,0,,,
2019-08-10 00:00:00+00:00,58.77,59.28,55.73,56.71,11836.54089,1565481599999,678184.0983296,3492,4707.11138,269325.2985115,0,,,
2019-08-11 00:00:00+00:00,56.7,60.57,56.68,59.91,11059.12908,1565567999999,649716.6629838,3743,5761.70006,338512.0996133,0,,,
2019-08-12 00:00:00+00:00,60.01,60.08,56.73,56.85,9349.54748,1565654399999,540529.3122834,2981,4322.4405,250065.7705975,0,,,
2019-08-13 00:00:00+00:00,56.85,57.13,54.93,55.45,10870.87645,1565740799999,608758.2602664,3501,4690.4124,263029.6308033,0,,,
2019-08-14 00:00:00+00:00,55.51,57.17,50.3,50.56,20502.62299,1565827199999,1120667.2123431,5993,7903.12925,432758.2950254,0,,,
2019-08-15 00:00:00+00:00,50.63,51.54,49.4,50.57,11658.85269,1565913599999,587032.6158084,2857,5386.18378,271449.7116654,0,,,
2019-08-16 00:00:00+00:00,50.57,51.15,48.3,48.88,9923.32973,1565999999999,490725.8546571,2802,4032.02073,199377.8433406,0,,,
2019-08-17 00:00:00+00:00,48.85,50.25,47.52,50.01,8245.92255,1566086399999,402431.852171,2174,3888.42904,189718.3418131,0,,,
2019-08-18 00:00:00+00:00,50.03,53.45,50.03,52.62,8869.36723,1566172799999,460256.1306042,2671,4253.07525,221540.2266406,0,,,
2019-08-19 00:00:00+00:00,52.68,54.48,51.67,54.3,8255.24315,1566259199999,439809.9627834,2478,3609.61008,192273.0837381,0,,,
2019-08-20 00:00:00+00:00,54.28,54.28,51.38,51.99,4953.55801,1566345599999,259906.3839485,1456,2459.9482,128978.8401441,0,,,
2019-08-21 00:00:00+00:00,51.93,52.05,48.32,49.79,8702.62653,1566431999999,432906.9803593,2379,3402.6453,169278.706711,0,,,
2019-08-22 00:00:00+00:00,50.01,51.29,48.16,50.77,7890.4187,1566518399999,395902.6797757,2299,3437.85207,172477.9140402,0,,,
2019-08-23 00:00:00+00:00,50.61,51.5,50.0,50.85,7166.17322,1566604799999,363350.6457427,2007,2439.84665,123725.247706,0,,,
2019-08-24 00:00:00+00:00,51.0,51.4,48.98,50.1,4715.91865,1566691199999,234999.480569,1441,2304.35394,114891.6636895,0,,,
2019-08-25 00:00:00+00:00,50.24,51.23,49.5,50.15,7167.52976,1566777599999,360075.6210125,1510,3154.48616,158410.9172069,0,,,
2019-08-26 00:00:00+00:00,50.26,53.59,50.26,51.47,12350.57536,1566863999999,639725.4603033,3722,5512.22053,285314.249839,0,,,
2019-08-27 00:00:00+00:00,51.56,51.6,50.06,50.5,6345.38425,1566950399999,320504.0322678,1438,1521.81468,77018.9089918,0,,,
2019-08-28 00:00:00+00:00,50.43,50.49,45.71,46.42,6841.65045,1567036799999,328057.3648328,2145,3650.40722,173708.4305927,0,,,
2019-08-29 00:00:00+00:00,46.45,46.57,43.77,44.98,11929.53193,1567123199999,539186.4818525,2215,4766.15164,215839.6603431,0,,,
2019-08-30 00:00:00+00:00,44.97,45.34,43.73,44.54,5860.17271,1567209599999,260494.2049401,1617,3073.20678,136683.8876334,0,,,
2019-08-31 00:00:00+00:00,44.51,45.11,43.94,44.6,3172.20716,1567295999999,141193.6761532,996,1178.54969,52546.4345485,0,,,
2019-09-01 00:00:00+00:00,44.66,45.62,44.33,45.21,3540.93311,1567382399999,159316.3807034,949,1984.62184,89346.2475777,0,,,
2019-09-02 00:00:00+00:00,45.23,47.55,44.71,46.82,7076.35045,1567468799999,326240.4437377,1709,3292.16405,151788.2985081,0,,,
2019-09-03 00:00:00+00:00,46.82,46.95,45.08,45.7,13634.99818,1567555199999,628257.6615609,2901,6520.11478,300526.7081394,0,,,
2019-09-04 00:00:00+00:00,45.49,46.07,44.49,44.83,6748.89295,1567641599999,304507.4184506,2004,2171.35758,97977.3437245,0,,,
2019-09-05 00:00:00+00:00,44.83,45.33,44.6,44.98,5720.53375,1567727999999,256808.8910919,1426,1765.7199,79380.27,0,,,
2019-09-06 00:00:00+00:00,44.9,47.02,44.21,45.86,13564.6797,1567814399999,618127.1575526,3186,5083.23538,231720.0078143,0,,,
2019-09-07 00:00:00+00:00,45.89,47.25,45.08,46.98,8770.14977,1567900799999,404852.9093565,2005,4473.20828,206561.0451975,0,,,
2019-09-08 00:00:00+00:00,47.0,48.66,47.0,48.28,9104.86341,1567987199999,435532.2394335,2158,5190.0303,248085.7281763,0,,,
2019-09-09 00:00:00+00:00,48.28,48.31,45.36,47.1,13557.15287,1568073599999,634438.6942126,2774,6274.95064,293677.5649606,0,,,
2019-09-10 00:00:00+00:00,46.98,47.43,44.53,44.93,7219.79532,1568159999999,331457.2134932,1936,3146.66216,144236.6399356,0,,,
2019-09-11 00:00:00+00:00,44.93,45.68,44.06,44.32,5449.78035,1568246399999,243356.3790864,1626,2269.15083,101335.1567796,0,,,
2019-09-12 00:00:00+00:00,44.39,44.82,43.48,44.6,5230.21905,1568332799999,231470.2680847,1312,2315.37083,102533.4021575,0,,,
2019-09-13 00:00:00+00:00,44.52,44.73,43.65,44.65,10178.23588,1568419199999,448914.9793623,1709,6415.18213,282814.9288892,0,,,
2019-09-14 00:00:00+00:00,44.63,46.84,44.34,46.19,6776.29153,1568505599999,308091.1799356,1757,4157.01566,189466.554864,0,,,
2019-09-15 00:00:00+00:00,46.25,47.61,45.64,46.63,8409.9252,1568591999999,392110.6875953,1890,4646.74661,216845.8116272,0,,,
2019-09-16 00:00:00+00:00,46.63,49.93,46.61,48.62,12755.0571,1568678399999,617584.0683604,2813,6589.41461,319451.2205609,0,,,
2019-09-17 00:00:00+00:00,48.65,51.35,47.47,50.64,13307.3546,1568764799999,658530.562,3538,6283.56947,310982.7967427,0,,,
2019-09-18 00:00:00+00:00,50.75,53.36,50.14,52.74,16442.39035,1568851199999,852814.2265057,4399,8718.01365,451888.1770095,0,,,
2019-09-19 00:00:00+00:00,52.73,52.77,48.27,51.14,23662.54214,1568937599999,1175313.3731778,5515,11491.41391,570534.8428831,0,,,
2019-09-20 00:00:00+00:00,51.19,51.33,47.76,48.87,14469.87389,1569023999999,710661.9140353,3274,7002.64889,344345.7801097,0,,,
2019-09-21 00:00:00+00:00,48.86,49.29,47.53,47.7,6270.98812,1569110399999,302854.0031137,1679,2884.35111,139049.1262101,0,,,
2019-09-22 00:00:00+00:00,47.72,47.76,45.66,46.13,8622.55267,1569196799999,399557.6305113,2320,4614.99762,213331.601089,0,,,
2019-09-23 00:00:00+00:00,46.13,46.19,43.47,44.09,15346.64963,1569283199999,692408.8457427,3905,8028.21412,363307.3628896,0,,,
